date,amount,description,category
2024-01-20,1632424,bantuan gempa,Donasi & Hadiah
2024-01-20,94164,cicilan TV,Utang & Cicilan
2024-01-20,667385,tabungan kendaraan,Tabungan & Investasi
2024-01-20,1234293,main futsal,Belanja & Hiburan
2024-01-21,1005299,bantuan tsunami,Donasi & Hadiah
2024-01-21,505265,hadiah valentine,Donasi & Hadiah
2024-01-21,6433,tas travel,Travel & Liburan
2024-01-21,999253,modal usaha,Bisnis & Profesional
2024-01-21,83386,sleeping bag,Travel & Liburan
2024-01-22,1213477,influencer,Bisnis & Profesional
2024-01-22,515800,beli nasi,Makanan & Minuman
2024-01-22,819749,obat flu,Kesehatan & Kebugaran
2024-01-22,726673,bayar tol,Transportasi
2024-01-23,1717226,kost-kostan,Tabungan & Investasi
2024-01-23,1897502,kontrak rumah,Perumahan & Akomodasi
2024-01-23,579931,spooring,Transportasi
2024-01-24,1064993,karpet lantai,Perumahan & Akomodasi
2024-01-24,1393361,uber,Transportasi
2024-01-24,1556919,pensil,Pendidikan
2024-01-24,1436103,wahana permainan,Belanja & Hiburan
2024-01-24,1288463,family trip,Travel & Liburan
2024-01-24,383552,kalkulator,Pendidikan
2024-01-24,1122659,scan,Lain-lain
2024-01-25,1675869,WOM finance,Utang & Cicilan
2024-01-25,124290,hadiah ulang tahun,Donasi & Hadiah
2024-01-25,1965964,aksi cepat tanggap,Donasi & Hadiah
2024-01-26,1001433,teh botol,Makanan & Minuman
2024-01-26,692879,fundraising,Donasi & Hadiah
2024-01-26,505139,tagihan kecil,Lain-lain
2024-01-26,1451088,hal tak terduga,Lain-lain
2024-01-27,1425500,badminton,Belanja & Hiburan
2024-01-27,756288,isi bensin,Transportasi
2024-01-27,1744505,dompet dhuafa,Donasi & Hadiah
2024-01-27,464318,kertas foto,Pendidikan
2024-01-27,624927,copyright,Bisnis & Profesional
2024-01-27,1448136,workshop,Pendidikan
2024-01-27,693272,leasing mobil,Utang & Cicilan
2024-01-27,167580,bantuan sosial,Donasi & Hadiah
2024-01-28,1188615,investasi jangka panjang,Tabungan & Investasi
2024-01-28,289582,kipas angin,Perumahan & Akomodasi
2024-01-28,836424,saham,Tabungan & Investasi
2024-01-28,561857,program sosial,Donasi & Hadiah
2024-01-28,1982561,jajanan,Lain-lain
2024-01-28,555873,beli roti,Makanan & Minuman
2024-01-28,1272904,bis damri,Transportasi
2024-01-28,1365261,moisturizer,Kesehatan & Kebugaran
2024-01-28,150733,transjakarta,Transportasi
2024-01-29,379483,cat tembok,Perumahan & Akomodasi
2024-01-29,545687,cicilan laptop,Utang & Cicilan
2024-01-29,273850,infaq,Donasi & Hadiah
2024-01-29,1358362,print,Lain-lain
2024-01-30,1994246,bayar listrik,Perumahan & Akomodasi
2024-01-30,1840386,transjakarta,Transportasi
2024-01-30,698139,transjakarta,Transportasi
2024-01-30,1897991,biaya bandara,Transportasi
2024-01-31,492925,perbaikan AC,Perumahan & Akomodasi
2024-01-31,575384,kalkulator,Pendidikan
2024-01-31,367402,asuransi kendaraan,Tabungan & Investasi
2024-01-31,1700870,beli buku,Belanja & Hiburan
2024-01-31,241741,alat kebersihan,Perumahan & Akomodasi
2024-01-31,1216122,ujian,Pendidikan
2024-02-01,456166,pengharum ruangan,Perumahan & Akomodasi
2024-02-01,1427055,spooring,Transportasi
2024-02-01,73566,pilates,Kesehatan & Kebugaran
2024-02-01,854628,donasi online,Donasi & Hadiah
2024-02-01,1318888,map plastik,Pendidikan
2024-02-01,1477666,hair treatment,Kesehatan & Kebugaran
2024-02-02,235467,baznas,Donasi & Hadiah
2024-02-02,800374,karpet lantai,Perumahan & Akomodasi
2024-02-02,1774044,workshop,Pendidikan
2024-02-02,1022895,cek lab,Kesehatan & Kebugaran
2024-02-02,187028,wahana permainan,Belanja & Hiburan
2024-02-02,809530,crypto,Tabungan & Investasi
2024-02-02,697585,bayar tol,Transportasi
2024-02-02,1029696,administrasi,Lain-lain
2024-02-02,422316,coating motor,Transportasi
2024-02-03,37837,biaya bandara,Transportasi
2024-02-03,672349,spooring,Transportasi
2024-02-03,1945778,setor tabungan,Tabungan & Investasi
2024-02-03,309234,workshop,Pendidikan
2024-02-03,1583920,karaoke,Belanja & Hiburan
2024-02-04,673397,beli baju,Belanja & Hiburan
2024-02-04,1547083,sunscreen,Kesehatan & Kebugaran
2024-02-04,1871640,reseller,Tabungan & Investasi
2024-02-05,1893391,kuliner khas,Travel & Liburan
2024-02-05,1809324,jasa profesional,Bisnis & Profesional
2024-02-05,1203196,bayar gas,Perumahan & Akomodasi
2024-02-05,1680501,print,Lain-lain
2024-02-05,458334,franchise fee,Bisnis & Profesional
2024-02-05,652792,donasi gereja,Donasi & Hadiah
2024-02-06,1716306,crowdfunding sosial,Donasi & Hadiah
2024-02-06,682006,beli furniture,Perumahan & Akomodasi
2024-02-06,1784122,oto finance,Utang & Cicilan
2024-02-07,1242698,sarung tangan,Transportasi
2024-02-07,1250330,headset,Pendidikan
2024-02-07,822875,tenda,Travel & Liburan
2024-02-07,1881709,protein shake,Kesehatan & Kebugaran
2024-02-08,248522,escape room,Belanja & Hiburan
2024-02-08,1842928,konsultan,Bisnis & Profesional
2024-02-08,1855201,sewa driver,Transportasi
2024-02-08,1196102,daging ayam,Makanan & Minuman
2024-02-08,850097,rental mobil,Transportasi
2024-02-08,541428,financial planning,Tabungan & Investasi
2024-02-08,1956787,uang rokok,Lain-lain
2024-02-08,805160,cicilan kecil,Lain-lain
2024-02-08,935661,konsultasi dokter,Kesehatan & Kebugaran
2024-02-08,1509074,hadiah natal,Donasi & Hadiah
2024-02-09,423534,denda telat,Utang & Cicilan
2024-02-09,952093,guest house,Travel & Liburan
2024-02-10,74970,billiard,Belanja & Hiburan
2024-02-10,1692474,langganan internet,Perumahan & Akomodasi
2024-02-10,1067439,beli susu,Makanan & Minuman
2024-02-10,122255,hadiah valentine,Donasi & Hadiah
2024-02-10,1177359,cicilan mesin cuci,Utang & Cicilan
2024-02-10,644479,serum wajah,Kesehatan & Kebugaran
2024-02-10,1364051,powerbank,Travel & Liburan
2024-02-11,423089,teh botol,Makanan & Minuman
2024-02-11,1093346,helm baru,Transportasi
2024-02-11,316057,massage,Kesehatan & Kebugaran
2024-02-11,1663956,parkir mobil,Transportasi
2024-02-11,1160446,asuransi motor,Transportasi
2024-02-12,1372002,BCA finance,Utang & Cicilan
2024-02-12,1189708,headset,Pendidikan
2024-02-12,1341775,insektisida,Perumahan & Akomodasi
2024-02-12,270234,printer,Pendidikan
2024-02-12,1100414,perbaikan AC,Perumahan & Akomodasi
2024-02-13,969174,beli emas,Tabungan & Investasi
2024-02-13,1437617,obligasi,Tabungan & Investasi
2024-02-13,1097461,pengeluaran berkala,Lain-lain
2024-02-13,1001714,baznas,Donasi & Hadiah
2024-02-13,642354,tenis,Belanja & Hiburan
2024-02-13,358437,sponsor acara,Donasi & Hadiah
2024-02-14,1129551,jajanan,Lain-lain
2024-02-14,1098562,print,Lain-lain
2024-02-14,131059,kaos kaki,Belanja & Hiburan
2024-02-14,1190921,porter bandara,Transportasi
2024-02-14,768768,pecel lele,Makanan & Minuman
2024-02-14,103492,hal tak terduga,Lain-lain
2024-02-14,867132,perbaikan AC,Perumahan & Akomodasi
2024-02-15,714985,headset,Pendidikan
2024-02-15,1425761,rumah zakat,Donasi & Hadiah
2024-02-15,52364,campur-campur,Lain-lain
2024-02-15,101430,teh botol,Makanan & Minuman
2024-02-15,1442302,vitamin C,Kesehatan & Kebugaran
2024-02-15,1543211,beras,Makanan & Minuman
2024-02-15,1833044,jaket riding,Transportasi
2024-02-15,1206792,investasi pendidikan,Tabungan & Investasi
2024-02-15,658612,jajan pasar,Makanan & Minuman
2024-02-15,399419,beli vitamin,Kesehatan & Kebugaran
2024-02-16,1501510,jajan pasar,Makanan & Minuman
2024-02-16,961146,aksesoris,Belanja & Hiburan
2024-02-16,708602,hadiah natal,Donasi & Hadiah
2024-02-16,1063101,air mineral,Makanan & Minuman
2024-02-16,1075913,guest house,Travel & Liburan
2024-02-16,1426721,uang jajan,Lain-lain
2024-02-17,1648935,bantal guling,Perumahan & Akomodasi
2024-02-17,1611796,pengharum ruangan,Perumahan & Akomodasi
2024-02-17,401575,donasi online,Donasi & Hadiah
2024-02-18,1320849,sewa rumah,Perumahan & Akomodasi
2024-02-18,577976,konsultan,Bisnis & Profesional
2024-02-18,1453174,unit link,Tabungan & Investasi
2024-02-18,1928721,villa,Travel & Liburan
2024-02-18,6123,taksi online,Transportasi
2024-02-19,848611,beli vitamin,Kesehatan & Kebugaran
2024-02-19,1393251,sedekah,Donasi & Hadiah
2024-02-19,1764124,charger portable,Travel & Liburan
2024-02-19,457107,aksesoris,Belanja & Hiburan
2024-02-20,1751589,bakti sosial,Donasi & Hadiah
2024-02-20,575641,distributor,Bisnis & Profesional
2024-02-20,394939,hotel,Travel & Liburan
2024-02-20,555623,gopro,Travel & Liburan
2024-02-21,1059553,program sosial,Donasi & Hadiah
2024-02-21,1929074,tiket museum,Travel & Liburan
2024-02-21,117826,tirai jendela,Perumahan & Akomodasi
2024-02-21,961688,spotify premium,Belanja & Hiburan
2024-02-22,893302,bantal guling,Perumahan & Akomodasi
2024-02-22,660252,renang,Belanja & Hiburan
2024-02-22,413221,fundraising,Donasi & Hadiah
2024-02-22,654106,dropship,Tabungan & Investasi
2024-02-22,569649,netflix,Belanja & Hiburan
2024-02-23,1587166,angkot,Transportasi
2024-02-23,1338529,bis damri,Transportasi
2024-02-23,241828,google ads,Bisnis & Profesional
2024-02-23,390329,honorarium,Bisnis & Profesional
2024-02-23,992616,penghapus,Pendidikan
2024-02-23,1775712,kalkulator,Pendidikan
2024-02-23,107057,donasi bencana,Donasi & Hadiah
2024-02-23,906072,konsultan,Bisnis & Profesional
2024-02-23,679527,seminar bisnis,Bisnis & Profesional
2024-02-24,1706088,bayar tol,Transportasi
2024-02-24,436070,lemari pakaian,Perumahan & Akomodasi
2024-02-24,424225,bahan baku,Bisnis & Profesional
2024-02-24,1987178,kredit kendaraan,Utang & Cicilan
2024-02-24,1726244,gado-gado,Makanan & Minuman
2024-02-24,1427094,sabun cuci piring,Perumahan & Akomodasi
2024-02-24,402191,volunteer,Donasi & Hadiah
2024-02-24,592356,client meeting,Bisnis & Profesional
2024-02-25,814260,face wash,Kesehatan & Kebugaran
2024-02-25,1964518,pecel lele,Makanan & Minuman
2024-02-25,701197,sunscreen,Kesehatan & Kebugaran
2024-02-25,1175387,rental motor,Transportasi
2024-02-25,1356980,koper,Travel & Liburan
2024-02-25,1948493,shampoo,Kesehatan & Kebugaran
2024-02-25,1900145,kebutuhan harian,Lain-lain
2024-02-25,507636,print,Lain-lain
2024-02-25,80208,obat sakit kepala,Kesehatan & Kebugaran
2024-02-25,1670371,keyboard,Pendidikan
2024-02-25,414798,bisnis sampingan,Tabungan & Investasi
2024-02-25,1685766,instagram ads,Bisnis & Profesional
2024-02-25,964515,receh,Lain-lain
2024-02-26,637122,food court,Makanan & Minuman
2024-02-26,325896,pengharum ruangan,Perumahan & Akomodasi
2024-02-26,1081358,kredit tanpa agunan,Utang & Cicilan
2024-02-26,1560444,camping equipment,Belanja & Hiburan
2024-02-26,82009,jasa profesional,Bisnis & Profesional
2024-02-26,195142,honorarium,Bisnis & Profesional
2024-02-27,1693303,beli vitamin,Kesehatan & Kebugaran
2024-02-27,791098,koran,Belanja & Hiburan
2024-02-27,611629,sarung tangan,Transportasi
2024-02-27,1780249,deodorant,Kesehatan & Kebugaran
2024-02-27,463875,sikat gigi,Kesehatan & Kebugaran
2024-02-27,1189770,tas carrier,Travel & Liburan
2024-02-27,855411,kursus bahasa,Pendidikan
2024-02-27,838739,lawyer,Bisnis & Profesional
2024-02-27,524284,instagram ads,Bisnis & Profesional
2024-02-27,623485,resort,Travel & Liburan
2024-02-28,856884,bantal guling,Perumahan & Akomodasi
2024-02-29,1535351,ember plastik,Perumahan & Akomodasi
2024-03-01,492001,ember plastik,Perumahan & Akomodasi
2024-03-01,1764654,penginapan,Travel & Liburan
2024-03-01,271103,hiking gear,Belanja & Hiburan
2024-03-01,1910324,cicilan laptop,Utang & Cicilan
2024-03-02,876621,oli mesin,Transportasi
2024-03-02,1403286,aksi cepat tanggap,Donasi & Hadiah
2024-03-02,1319892,penggaris,Pendidikan
2024-03-02,1050905,kereta bandara,Transportasi
2024-03-03,124884,uang jajan,Lain-lain
2024-03-03,898960,cicilan AC,Utang & Cicilan
2024-03-03,882935,tabungan pernikahan,Tabungan & Investasi
2024-03-03,1564185,webcam,Pendidikan
2024-03-03,1718443,perbaikan AC,Perumahan & Akomodasi
2024-03-03,1217449,trademark,Bisnis & Profesional
2024-03-03,1164978,tablet,Pendidikan
2024-03-03,1558392,keperluan mendadak,Lain-lain
2024-03-04,821792,creambath,Kesehatan & Kebugaran
2024-03-04,428953,visa,Travel & Liburan
2024-03-04,501546,forex,Tabungan & Investasi
2024-03-04,1847719,endorse,Bisnis & Profesional
2024-03-05,583733,bensin motor,Transportasi
2024-03-05,100455,tagihan kecil,Lain-lain
2024-03-05,301195,bayar cleaning service,Perumahan & Akomodasi
2024-03-06,1254668,dana darurat,Tabungan & Investasi
2024-03-06,1636619,cicilan mesin cuci,Utang & Cicilan
2024-03-06,1964962,resort,Travel & Liburan
2024-03-06,1321031,badminton,Belanja & Hiburan
2024-03-06,1348424,spidol,Pendidikan
2024-03-06,1779121,google ads,Bisnis & Profesional
2024-03-06,1413598,modal usaha,Tabungan & Investasi
2024-03-06,879800,hiking gear,Belanja & Hiburan
2024-03-06,244010,kalkulator,Pendidikan
2024-03-07,1962824,rental motor,Transportasi
2024-03-07,1932525,beli tiket kereta,Transportasi
2024-03-08,1314288,rental mobil,Transportasi
2024-03-08,1535833,karaoke,Belanja & Hiburan
2024-03-08,188099,sunscreen,Kesehatan & Kebugaran
2024-03-08,1267728,materai,Pendidikan
2024-03-09,379632,jajan pasar,Makanan & Minuman
2024-03-09,1627305,adventure tour,Travel & Liburan
2024-03-10,457445,air mineral,Makanan & Minuman
2024-03-10,1658931,financial planning,Tabungan & Investasi
2024-03-10,1901601,hadiah lebaran,Donasi & Hadiah
2024-03-11,274256,hostel,Travel & Liburan
2024-03-11,602661,manicure,Kesehatan & Kebugaran
2024-03-11,1440289,conditioner,Kesehatan & Kebugaran
2024-03-11,607072,cicilan rumah,Utang & Cicilan
2024-03-11,296879,tabungan haji,Tabungan & Investasi
2024-03-11,1627204,pelunasan,Utang & Cicilan
2024-03-11,612325,ganti oli,Transportasi
2024-03-11,1405604,alat tulis,Pendidikan
2024-03-11,277487,property investment,Tabungan & Investasi
2024-03-12,482937,ayam goreng,Makanan & Minuman
2024-03-12,1350284,koran,Belanja & Hiburan
2024-03-12,1023924,massage,Kesehatan & Kebugaran
2024-03-12,1442615,hadiah pernikahan,Donasi & Hadiah
2024-03-12,11936,tiket wisata,Travel & Liburan
2024-03-12,381013,cicilan elektronik,Utang & Cicilan
2024-03-12,665193,lemari pakaian,Perumahan & Akomodasi
2024-03-12,834014,berlangganan streaming,Belanja & Hiburan
2024-03-13,128467,meterai,Lain-lain
2024-03-13,762277,tiket pesawat,Travel & Liburan
2024-03-13,1054577,angsuran bank,Utang & Cicilan
2024-03-13,1915477,hadiah imlek,Donasi & Hadiah
2024-03-13,1380206,food court,Makanan & Minuman
2024-03-13,1985977,main game,Belanja & Hiburan
2024-03-13,1876169,diving,Belanja & Hiburan
2024-03-13,971734,mini golf,Belanja & Hiburan
2024-03-13,1118420,MLM,Tabungan & Investasi
2024-03-13,1937742,investasi reksadana,Tabungan & Investasi
2024-03-14,363903,aksi cepat tanggap,Donasi & Hadiah
2024-03-15,1863363,cicilan kulkas,Utang & Cicilan
2024-03-15,727529,bumbu dapur,Makanan & Minuman
2024-03-15,227582,mouse komputer,Pendidikan
2024-03-15,146269,camping equipment,Belanja & Hiburan
2024-03-15,128212,sapu dan pel,Perumahan & Akomodasi
2024-03-15,1421882,kontrak kerja,Bisnis & Profesional
2024-03-16,1065917,rental car,Travel & Liburan
2024-03-16,1237227,cash advance,Utang & Cicilan
2024-03-16,1889666,kredit investasi,Utang & Cicilan
2024-03-16,807787,beli buku,Belanja & Hiburan
2024-03-17,1607934,bahan baku,Bisnis & Profesional
2024-03-17,1640646,USG,Kesehatan & Kebugaran
2024-03-17,419712,snack minimarket,Makanan & Minuman
2024-03-17,713733,homestay,Travel & Liburan
2024-03-17,551673,tiket pantai,Travel & Liburan
2024-03-17,1579390,oli mesin,Transportasi
2024-03-18,1617721,kertas foto,Pendidikan
2024-03-18,1329616,bubble tea,Makanan & Minuman
2024-03-18,607628,rental car,Travel & Liburan
2024-03-18,622648,workshop,Pendidikan
2024-03-19,1115357,hadiah baby shower,Donasi & Hadiah
2024-03-19,1985177,penggaris,Pendidikan
2024-03-19,1076187,cicilan springbed,Utang & Cicilan
2024-03-19,583693,kontrak rumah,Perumahan & Akomodasi
2024-03-19,1612346,guide lokal,Travel & Liburan
2024-03-19,1941530,maintenance fee,Perumahan & Akomodasi
2024-03-19,1063305,designer,Bisnis & Profesional
2024-03-19,1986529,pengeluaran spontan,Lain-lain
2024-03-20,905274,printer,Pendidikan
2024-03-20,479356,tune up,Transportasi
2024-03-20,255401,bantuan gempa,Donasi & Hadiah
2024-03-20,675079,body scrub,Kesehatan & Kebugaran
2024-03-20,794218,tiket pantai,Travel & Liburan
2024-03-20,1667840,uang jajan,Lain-lain
2024-03-20,1135778,gaji,Bisnis & Profesional
2024-03-20,1876859,hotel,Travel & Liburan
2024-03-21,1716324,sabun cuci piring,Perumahan & Akomodasi
2024-03-21,1380673,laptop,Pendidikan
2024-03-21,117609,sepatu gunung,Travel & Liburan
2024-03-21,1699624,rental car,Travel & Liburan
2024-03-21,1038193,fee,Bisnis & Profesional
2024-03-21,605883,portfolio management,Tabungan & Investasi
2024-03-21,734662,beli nasi,Makanan & Minuman
2024-03-21,281394,BCA finance,Utang & Cicilan
2024-03-21,211378,tas ransel,Belanja & Hiburan
2024-03-22,457260,air mineral,Makanan & Minuman
2024-03-22,837664,obat flu,Kesehatan & Kebugaran
2024-03-22,18784,kitabisa,Donasi & Hadiah
2024-03-22,316650,refinancing,Utang & Cicilan
2024-03-23,489990,bayar tol,Transportasi
2024-03-23,316078,kertas foto,Pendidikan
2024-03-23,1328371,top up,Utang & Cicilan
2024-03-23,609761,mutual fund,Tabungan & Investasi
2024-03-23,1550479,cicilan kitchen set,Utang & Cicilan
2024-03-23,1842118,guide lokal,Travel & Liburan
2024-03-24,1190366,investasi jangka panjang,Tabungan & Investasi
2024-03-24,64113,pulpen,Pendidikan
2024-03-24,1112659,travel adapter,Travel & Liburan
2024-03-24,651663,cicilan laptop,Utang & Cicilan
2024-03-24,1874185,youtube premium,Belanja & Hiburan
2024-03-24,957223,cicilan kitchen set,Utang & Cicilan
2024-03-24,243940,hotel,Travel & Liburan
2024-03-24,1974403,kalkulator,Pendidikan
2024-03-25,170521,minuman ringan,Lain-lain
2024-03-25,513126,solo traveling,Travel & Liburan
2024-03-25,1350132,sabun cuci piring,Perumahan & Akomodasi
2024-03-26,629907,kertas foto,Pendidikan
2024-03-26,922201,bowling,Belanja & Hiburan
2024-03-27,794953,main futsal,Belanja & Hiburan
2024-03-27,1265386,lip balm,Kesehatan & Kebugaran
2024-03-27,547786,donasi online,Donasi & Hadiah
2024-03-27,1827299,miscellaneous,Lain-lain
2024-03-27,676992,foto wisata,Travel & Liburan
2024-03-27,1167157,pengeluaran kecil,Lain-lain
2024-03-27,1889311,visa,Travel & Liburan
2024-03-28,207510,kipas angin,Perumahan & Akomodasi
2024-03-28,146933,jaket outdoor,Travel & Liburan
2024-03-28,1384090,beli lampu,Perumahan & Akomodasi
2024-03-28,735498,sewa rumah,Perumahan & Akomodasi
2024-03-28,1574291,topi,Belanja & Hiburan
2024-03-28,916193,tabungan umroh,Tabungan & Investasi
2024-03-28,832979,sewa rumah,Perumahan & Akomodasi
2024-03-28,1141308,shampoo,Kesehatan & Kebugaran
2024-03-28,904244,alat tulis,Pendidikan
2024-03-29,516418,billiard,Belanja & Hiburan
2024-03-29,840001,beli furniture,Perumahan & Akomodasi
2024-03-29,392514,unit link,Tabungan & Investasi
2024-03-29,804882,billiard,Belanja & Hiburan
2024-03-29,745562,tiket teater,Belanja & Hiburan
2024-03-29,380354,asuransi jiwa,Tabungan & Investasi
2024-03-29,640921,grab car,Transportasi
2024-03-30,71653,adopsi anak,Donasi & Hadiah
2024-03-30,292804,tiket konser,Belanja & Hiburan
2024-03-30,1963512,mega finance,Utang & Cicilan
2024-03-30,1869757,tablet,Pendidikan
2024-03-30,1560096,skincare,Kesehatan & Kebugaran
2024-03-30,1839558,main futsal,Belanja & Hiburan
2024-03-30,1621020,wahana permainan,Belanja & Hiburan
2024-03-31,682954,penggaris,Pendidikan
2024-03-31,914558,balancing,Transportasi
2024-03-31,667829,cicilan mesin cuci,Utang & Cicilan
2024-03-31,1054940,transjakarta,Transportasi
2024-03-31,1327595,moisturizer,Kesehatan & Kebugaran
2024-03-31,1204560,naik ojek,Transportasi
2024-04-01,200169,webcam,Pendidikan
2024-04-01,473352,body scrub,Kesehatan & Kebugaran
2024-04-01,1408040,ember plastik,Perumahan & Akomodasi
2024-04-01,912919,keyboard,Pendidikan
2024-04-01,859120,boarding pass,Transportasi
2024-04-01,1506068,kipas angin,Perumahan & Akomodasi
2024-04-01,1970473,tinta printer,Pendidikan
2024-04-01,806323,kredit kendaraan,Utang & Cicilan
2024-04-01,1636733,paper clip,Pendidikan
2024-04-02,1068398,kitabisa,Donasi & Hadiah
2024-04-02,1527823,peralatan hiking,Travel & Liburan
2024-04-02,1040111,isi bensin,Transportasi
2024-04-02,242338,keperluan sehari-hari,Lain-lain
2024-04-02,500014,forex,Tabungan & Investasi
2024-04-03,751046,pengeluaran spontan,Lain-lain
2024-04-03,1334746,setrika baju,Perumahan & Akomodasi
2024-04-03,1852578,hiking gear,Belanja & Hiburan
2024-04-04,203670,tagihan kecil,Lain-lain
2024-04-04,1927842,training,Bisnis & Profesional
2024-04-05,892947,fee,Bisnis & Profesional
2024-04-05,358655,family trip,Travel & Liburan
2024-04-05,1577449,tabungan umroh,Tabungan & Investasi
2024-04-05,1336357,jajanan,Lain-lain
2024-04-05,208975,jajanan,Lain-lain
2024-04-05,125400,ganti aki,Transportasi
2024-04-06,442145,solo traveling,Travel & Liburan
2024-04-07,660409,kalkulator,Pendidikan
2024-04-07,486855,penginapan,Travel & Liburan
2024-04-07,1931797,sewa driver,Transportasi
2024-04-07,1004936,food court,Makanan & Minuman
